Name,Featured In - Page,Featured In - Link,Quality Image,Featured Image
Rosefinch Mulberry IITMandi Apr20 D72 14643,[],[],,
BlackKite flight IITMandi Apr20 D72 14397,[],[],,
Spotted Dove IITMandi Salgi Jun19 D72 10311,[],[],,
Rocket IITMandi North Campus Aug19 R16 01772,[],[],,
NH505 Monoliths Tabo Upstream Jun18 D72 6916,[],[],,
NH505 Spiti Kaza Losar Jun18 D72 7797,[],[],,
NH505 Khab Sangam Jun18 D72 6744,[],[],,
NH505 Chandra River Batal Chhatru Jun18 D72 8028,[],[],,
NH505 Spiti Kaza Losar Jun18 D72 7800,[],[],,
NH505 Chandra River Batal Chhatru Jun18 D72 8022,[],[],,
Pin Valley Spiti Himachal Jun18 D72 7092,[],[],,
Nako Kinnaur Himachal Jun18 D72 6792,[],[],,
Grass Deodar Monsoon Mist Manali Sep20 R16 04026,[],[],,
Waterfall Marhi Himachal Jun18 D72 8081,[],[],,
Sambar Corbett India Dec19 D72 12585,[],[],,
Black-necked Stork Corbett India Dec19 D72 12989,[],[],,
Yellow-billed chough Pin Valley Spiti Himachal Jun18 D72 7201,[],[],,
Ruddy Shelduck Chandratal Spiti Himachal Jun18 D72 7911,[],[],,
TaboMonastery-Tabo-Spiti-Himachal-D72 6768.JPG,[],[],,
Tira Sujanpur from Katoch Palace Mar19 R16 00198,[],[],,
Katoch Palace-Kangra-Himachal-Outer-Wall-Entrance-R16 00191,[],[],,
Katoch Palace-Hamirpur-Himachal-Ruins-R16 00204,[],[],,
Katoch Palace-Kangra-Himachal-Rooms-R16 00213,[],[],,
Katoch Palace-Hamirpur-Himachal-Ruins R16 00199,[],[],,
Katoch Palace-Hamirpur-Himachal-Inner-Building-R16 00193,[],[],,
Katoch Palace-Hamirpur-Himachal-Arch-Dome-detail-R16 00200,[],[],,
Katoch Palace-Hamirpur-Himachal-Overgrown Ruins-R16 00202,[],[],,
Katoch Palace-Hamirpur-Himachal-Outer-Wall-R16 00216,[],[],,
Masroor-Kangra-Himachal-R16 02706,[],[],,
Masroor-Kangra-Himachal-R16 02697,[],[],,
Masroor-Kangra-Himachal-R16 02699,[],[],,
Elephants Grass Sal Dhikala Corbett Reserve Dec2019 R16 02266,[],[],,
Morning Mist Dhikala Corbett Reserve Dec2019 R16 02285,[],[],,
Grey headed Starling pair Mulberry Himachal D72 14753nx,[],[],,
Grey headed Starling fem Mulberry Himachal D72 14654nx,[],[],,
Rhesus macaque monkey D72 16856k 01,[],[],,
Losar Jun18 D72 7824,[],[],,
Rhesus macaque monkey D72 16874k,[],[],,
Confluence Spiti Satluj Jun18 D72 6752,[],[],,
Confluence Spiti Satluj Jun18 D72 6744,[],[],,
Uhl River downstream from Baragram 2Oct17 D72 2303,[],[],,
Salgi Village Jan20 D72 13798 02,[],[],,
Salgi Village EWOK Jan20 D72 13798 01,[],[],,
Losar-Kunzum Road Jun18 D72 7836,[],[],,
Ponies near Stable IIT Mandi 12Jun2011 P1030269,[],[],,
Himalayan Bulbul Courting D72 14780,[],[],,
MakingASplash.webm,[],[],,
Oriental White-eye Windermere Ooty D72 5232,[],[],,
Sunflower Kamand DSC 2856,[],[],,
PWD Resthouse Barot Oct 2017 D72 2280 04,[],[],,
Uhl River at Barot Oct 2017 D72 2280,[],[],,
Uhl above Barot towards Billing Oct 2017 D72 2280 01,[],[],,
"PWD Resthouse, Barot Oct 2017 D72 2280",[],[],,
IIT Mandi North Campus Griffon Peak View May 2016 DSC01772,[],[],,
IIT Mandi South Campus Griffon Peak View Aug 2015 DSC8758 01,[],[],,
Priscilla Timothy Gonsalves Aug 2019 R16 01804,[],[],,
IIT Mandi South Campus Directors Residence Oct 2012 P1060231,[],[],,
IIT Mandi North Campus under construction May 2016 DSC01772,[],[],,
IIT Mandi Badminton Hall LGSF Construction Sep 2014 DSC 5989,[],[],,
Kamand Village on Uhl River D72 2809,[],[],,
Rusty Snow IIT Mandi 8 Feb 2019 D72 9478,[],[],,
Rusty Stream IIT Mandi Jan 2019 D72 8953,[],[],,
Rusty Reena laptop IIT Mandi 2012 P1050450,[],[],,
IIT Mandi South Campus under construction Dec 2012 DSC 0923e,[],[],,
IIT Mandi Campus from Griffon Peak March 2014 DSC 6026,[],[],,
Uhl River towards Peepul Point IIT Mandi DSC 4383,[],[],,
IIT Mandi South Campus from Griffon Peak April 2017 D72 0617,[],[],,
IIT Mandi Campus from Griffon Peak April 2017 D72 0616,[],[],,
Himalayan Griffon above IIT Mandi campus Oct 2019 D72 2778,[],[],,
Ooty Town Winter Morning from Gem Park P1040150e,[],[],,
Uhl River Valley Kamand Bike R16 00245,[],[],,
South Campus Jan14 DSC 4385,[],[],,
IIT Mandi Kamand Greenfield Jul2011 P1030368,[],[],,
North Campus July 2019 D72 11262,[],[],,
Baralacha La Lahaul D32 13255,[],[],,
Dandelion Achene Fruit D32 12856,[],[],,
Gondla Fort Lahaul D32 13430,[],[],,
Tabo Monastery -Tabo Spiti -Himachal Pradesh -D72 6869,[],[],,
TaboMonastery-Tabo-Spiti-Himachal-D72 6827,[],[],,
